pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
10;;"O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE";;;;;;
10;;DESPOJOS.;;;;;;
10;;0210.1 - Carne de la especie porcina:;;;;;;
10;0210.11.00.00;- - Jamones, paletas, y sus trozos, sin deshuesar;10;;3,5,6;;;kg
10;0210.12.00.00;- - Tocino entreverado de panza (panceta) y sus trozos;10;;3,5,6;;;kg
10;0210.19.00.00;- - Las demás;10;2E;3,5,6;;;kg
10;0210.20.00.00;- Carne de la especie bovina;10;;3,5,6;;;kg
10;;0210.9 - Los demás, incluidos la harina y polvo comestibles, de carne o de despojos:;;;;;;
10;0210.91.00.00;- - De primates;10;;3,5,6;;;kg
10;0210.92.00.00;"- - De ballenas, delfines y marsopas (mamíferos del orden Cetacea);";de;;;;;
10;;"manatíesydugonesodugongos(mamíferosdelordenSirenia);deotariosy";;;;;;
10;;focas, leones marinos y morsas (mamíferos del suborden Pinnipedia) 10 3,5,6 kg;;;;;;
10;0210.93.00.00;- - De reptiles (incluidas las serpientes y tortugas de mar);10;;3,5,6;;;kg
10;0210.99;- - Los demás:;;;;;;
10;0210.99.1;- - - Carne de aves de la partida 01.05:;;;;;;
10;0210.99.11.00;- - - - De gallos y de gallinas;10;;3,5,6;;;kg
10;0210.99.19.00;- - - - Los demás;10;;3,5,6;;;kg
10;0210.99.20.00;- - - Carne de la especie ovina;10;;3,5,6;;;kg
10;0210.99.30.00;- - - Carne de la especie caballar;10;;3,5,6;;;kg
10;0210.99.40.00;- - - Despojos comestibles;10;;3,5,6;;;kg
10;0210.99.90.00;- - - Los demás;10;;3,5,6;;;kg
10;;CAPÍTULO 3;;;;;;
10;;PESCADOS Y CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICOS;;;;;;
10;;Notas.;;;;;;
10;;1. Este Capítulo no comprende:;;;;;;
10;;"a) los mamíferos de la partida 01.06;";;;;;;
10;;"b) la carne de los mamíferos de la partida 01.06 (partidas 02.08 o 02.10);";;;;;;
10;;c) el pescado (incluidos los hígados, huevas y lechas) ni los crustáceos, moluscos o demás invertebrados acuáticos, muertos e impropios para la;;;;;;
10;;"alimentación humana por su naturaleza o por su estado de presentación (Capítulo 5); la harina, polvo y «pellets» de pescado o de crustáceos, moluscos o";;;;;;
10;;"demás invertebrados acuáticos, impropios para la alimentación humana (partida 23.01);";;;;;;
10;;d) el caviar y los sucedáneos del caviar preparados con huevas de pescado (partida 16.04).;;;;;;
10;;2. En este Capítulo, el término «pellets» designa los productos en forma de cilindro, bolita, etc., aglomerados por simple presión o con adición de una pequeña;;;;;;
10;;cantidad de aglutinante.;;;;;;
10;;3. Las partidas 03.05 a 03.08 no comprenden la harina, polvo y «pellets», aptos para la alimentación humana (partida 03.09).;;;;;;
10;03.01;PECES VIVOS.;;;;;;
10;;0301.1 - Peces ornamentales:;;;;;;
10;0301.11;- - De agua dulce:;;;;;;
10;0301.11.10.00;- - - Arawanas (Osteoglossum bicirrhosum);10;;5,18;;;u
10;0301.11.90.00;- - - Los demás;10;;5,18;;;u
10;0301.19.00.00;- - Los demás;10;;5,18;;;u
10;;0301.9 - Los demás peces vivos:;;;;;;
11;0301.91;- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,;;;;;;
11;;Oncorhynchusaguabonita,Oncorhynchusgilae,Oncorhynchusapachey;;;;;;
11;;Oncorhynchus chrysogaster):;;;;;;
11;0301.91.10.00;- - - Para reproducción;0;;5,18;;;u
11;0301.91.90.00;- - - Las demás;10;;5,18;;;u
11;0301.92;- - Anguilas (Anguilla spp.):;;;;;;
11;0301.92.10.00;- - - Para reproducción;0;;5,18;;;kg
11;0301.92.90.00;- - - Las demás;10;;5,18;;;kg
11;0301.93;- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,;;;;;;
11;;Hypophthalmichthysspp.,Cirrhinusspp.,Mylopharyngodonpiceus,Catla;;;;;;
